restaurant_id,cuisine
286,North Indian
287,Seafood
287,Asian
287,Continental
287,Thai
287,Mexican
287,North Indian
288,Continental
288,Chinese
288,North Indian
289,Continental
289,Chinese
289,North Indian
290,Malwani
290,Mughlai
290,Continental
290,Chinese
290,North Indian
291,South Indian
291,North Indian
292,South Indian
292,Chinese
292,North Indian
292,Fast Food
293,Kebab
293,Chinese
293,Italian
293,Mexican
293,North Indian
294,Continental
294,Chinese
294,North Indian
294,Cafe
295,Mangalorean
295,Seafood
295,Continental
295,Chinese
295,North Indian
296,Fast Food
296,Finger Food
296,Asian
296,North Indian
296,Italian
296,Continental
297,Chinese
297,North Indian
298,Italian
298,Continental
298,North Indian
299,Chinese
299,North Indian
300,Continental
300,Chinese
300,North Indian
301,Seafood
301,Thai
301,Chinese
301,North Indian
302,North Indian
302,Mexican
302,Salad
302,Continental
303,Italian
303,Mediterranean
303,North Indian
303,European
304,Fast Food
304,North Indian
304,Chinese
305,Italian
306,Asian
306,Continental
306,North Indian
307,North Indian
307,Finger Food
308,Seafood
308,Chinese
308,North Indian
309,North Indian
310,Bar Food
310,Finger Food
311,Mughlai
311,Chinese
311,North Indian
312,Maharashtrian
312,Mughlai
312,North Indian
313,Continental
313,North Indian
314,Chinese
314,Continental
314,North Indian
315,North Indian
315,Biryani
315,Chinese
316,Continental
316,Asian
316,North Indian
317,Healthy Food
318,Finger Food
319,Desserts
320,Seafood
320,Chinese
320,North Indian
321,American
321,Bar Food
321,North Indian
321,Kebab
321,Korean
321,Finger Food
321,Chinese
321,Mexican
322,Maharashtrian
322,Kebab
322,Finger Food
322,Italian
322,North Indian
322,Continental
323,Finger Food
323,Italian
323,Chinese
323,North Indian
324,Continental
324,Mughlai
324,Chinese
324,North Indian
325,Mexican
325,Italian
326,Fast Food
326,Mughlai
326,North Indian
327,Beverages
327,Continental
327,Chinese
327,North Indian
328,Desserts
328,Fast Food
328,Modern Indian
328,North Indian
329,Italian
329,Continental
329,Chinese
329,North Indian
330,Mughlai
330,Chinese
330,North Indian
331,Beverages
331,Desserts
331,Thai
331,Italian
331,Fast Food
331,Mexican
332,Salad
332,Parsi
332,Continental
333,North Indian
333,Mediterranean
333,Asian
334,North Indian
334,Asian
334,Italian
334,Continental
335,Asian
335,Mughlai
335,North Indian
335,Bar Food
336,Continental
336,Mediterranean
336,Chinese
336,North Indian
337,Maharashtrian
337,North Indian
338,Chinese
338,Continental
338,North Indian
339,Finger Food
339,North Indian
339,Italian
339,Continental
340,Salad
340,European
340,Asian
340,North Indian
341,Mughlai
341,North Indian
341,Fast Food
341,Chinese
342,Seafood
342,Chinese
342,North Indian
343,Continental
343,North Indian
343,Asian
344,Seafood
344,Mughlai
344,Bar Food
344,Asian
344,North Indian
344,Italian
344,Continental
345,Mughlai
345,North Indian
345,Seafood
345,Chinese
346,Street Food
346,South Indian
346,Italian
346,Mexican
346,Chinese
346,North Indian
347,Italian
347,Mughlai
347,Seafood
347,North Indian
348,North Indian
348,Continental
349,Seafood
349,North Indian
349,Chinese
350,Continental
350,Finger Food
350,North Indian
351,North Indian
351,Chinese
351,Italian
351,Continental
352,Chinese
352,Italian
352,North Indian
353,Chinese
