"restaurant_id","restaurant_name","restaurant_type","area","dine_rating","dine_reviews","delivery_rating","delivery_reviews","cost_for_two","liked"
"3282","Savlahari Pot Ice-Cream & Mastani","Dessert Parlor","Hadapsar","3.1","27","3.9","290","300",""
"3283","360 Degree - The Rooftop Restaurant & Bar","Casual Dining","Bhosale-Shinde Arcade, JM Road","3.4","226","0.0","0","1200","Chicken Drum, Masala Papad, Dum Kebab"
"3284","Hotel Kunal","Casual Dining","Pimple Saudagar","3.8","391","4.0","3637","650","Veg Platter"
"3285","Bhairavee Pure Veg Restaurant","Casual Dining","Baner","4.3","948","3.9","1947","1300","Pasta, Naan, Brownie, Paneer Romanchak, Paratha, Paneer Lababdar, Tomato Soup"
"3286","House Of Hyderabad","Quick Bites","Baner","3.6","15","0.0","0","600",""
"3287","Hotel Gaarva (Malhaar)","Casual Dining","Nigdi","3.6","192","4.0","1265","650","Butter Chicken, Chicken Handi, Fish, Chicken Biryani, Butter Naan"
"3288","Gavkari","Quick Bites","Kothrud","3.9","211","3.8","1512","500","Pandhra Rassa, Chicken Thali, Chicken Sukha, Egg Curry, Biryani, Mutton Thali, Mutton Sukha"
"3289","Gavkari","Quick Bites","Warje","3.6","115","3.8","699","500","Pandhra Rassa, Mutton Thali, Non Veg Thali, Biryani, Egg Curry, Chicken Thali, Mutton Sukha"
"3290","Gavkari","Quick Bites","Budhwar Peth","3.6","77","3.6","699","500","Egg Curry, Mutton Keema, Biryani, Chicken Thali"
"3291","Gavkari","Quick Bites","Sinhgad Road","3.5","12","0.0","0","500",""
"3292","Gavkari","Quick Bites","Nigdi","3.6","49","3.4","233","300",""
"3293","Al Madina Biryani House","","Sinhgad Road","3.4","1819","0.0","0","250",""
"3294","Hotel Malabar","","Lohegaon","3.9","93","0.0","0","500",""
"3295","Punjabi Non Veg","","Lohegaon","3.5","33","0.0","0","500",""
"3296","Punjabi Tadka","Quick Bites","Wagholi","0.0","0","0.0","0","200",""
"3297","Shri Ganesh Snaks Centre","","Kharadi","0.0","0","0.0","0","200",""
"3298","Mayur Pav Bhaji & Juice Bar","Casual Dining","Karve Nagar","4.2","388","4.3","500","500","Pav Bhaji, Panneer Butter Masala, Manchow Soup, Tawa Pulav, Masala Papad, Noodle, Masala Pav"
"3299","Cream California","Dessert Parlor","FC Road","4.1","291","0.0","0","250","Thick Shakes, Mango Shake, Kulfi, Thick Cold Coffee, Thick Chocolate Shake, Choco Vanilla, Oreo Shake"
"3300","New Supreme Pavbhaji And Creamist Live Ice Cream Rolls","Dessert Parlor","Wakad","2.8","12","0.0","0","400",""
"3301","Juice Destination","","Wakad","3.8","144","0.0","0","400",""
"3302","Jay Malhar","Quick Bites","Balewadi","3.5","40","3.2","802","400",""
"3303","Retox","Pub,Casual Dining","Viman Nagar","4.4","1599","0.0","0","2000","Cocktails, Fries, Long Island Iced Tea, Burgers, Nachos, Mocktails, Dal Kichadi"
"3304","Fresh Press Cafe","Quick Bites","Akurdi","4.0","112","0.0","0","200","Sandwich, Momos, Salad, Fruit Juices, Watermelon Juice, Pineapple Punch"
"3305","Sarvadnya Misal","Quick Bites","Wagholi","3.0","33","3.2","155","200",""
"3306","Labbaik Biryani House","","Camp Area","3.6","252","0.0","0","300","Chicken Biryani"
"3307","Shortcuts - Quick Meals On The Go","","Hinjawadi","3.3","521","0.0","0","400",""
"3308","Yo Kakke","Quick Bites","Viman Nagar","4.0","430","3.9","109","300","Kulcha, Paratha, Chole Bhature, Dal Makhani, Thali, Gulab Jamun, Naan"
"3309","Yewale Amruttulya","Beverage Shop","NIBM Road","3.5","4","0.0","0","100",""
"3310","Deepa's Mess","Mess","Hadapsar","3.8","101","4.0","4154","100","Deluxe Thali"
"3311","Grill Zone","Quick Bites","Lonavala","3.7","82","3.6","316","500","Sandwich, Pizza, Burgers, Chicken Fries, Pasta, Garlic Bread, French Fries"
"3312","Darjeeling Momos","Quick Bites","Aundh","3.9","60","4.4","451","300",""
"3313","Hotel Tasty Point","Quick Bites","Expressway","3.4","5","0.0","0","250",""
"3314","Sai Hotel and Restaurant","Quick Bites","Akurdi","3.5","9","0.0","0","400",""
"3315","Vedas","Casual Dining","Akurdi","3.9","181","3.8","1456","750","Butter Naan, Roti, Dal Tadka, Fish Platter, Paneer Chop Masala"
"3316","Baker's Hut","Bakery","Nigdi","3.3","22","4.2","221","250",""
"3317","We Idliwale","Quick Bites","Baner","4.0","231","0.0","0","200","Chicken Curry, Idli Chutney, Filtered Coffee, Idli Sambar"
"3318","Desi Dhaba","Dhaba","Hinjawadi","4.4","458","3.8","1595","400","Sev Bhaji, Buttermilk, Panneer Butter Masala, Dal Tadka, Roti, Lassi, Bhindi Masala"
"3319","Diamond Bakery","Dessert Parlor","Fatima Nagar","4.4","335","0.0","0","200","Chicken Sandwich, Mawa Cake, Chutney Sandwich, Rolls, Veg Cheese Sandwich, Plum Cake, Chicken Roll"
"3320","Bengali Sweets And Foods","Quick Bites","Viman Nagar","4.1","428","4.0","8379","400","Chicken Roll, Mutton Kosha, Fish, Rolls, Chamcham, Chicken Biryani, Mutton Curry"
"3321","Beetroot Bistro","Casual Dining","Koregaon Park","4.3","966","3.9","859","950","Pasta, Pizza, Hot Chocolate, Nachos, Peri Peri Chicken, Burgers, Waffles"
"3322","Bahubali's House of Paranthas","Casual Dining","Wakad","3.8","240","3.7","1140","600","Paratha, Lassi, Dal Makhani, Salad, Paneer Parantha, Chaat, Dahi Bhalle"
"3323","Yewale Amruttulya","Beverage Shop","NIBM Road","3.5","4","0.0","0","100",""
"3324","Yewale Amruttulya","Beverage Shop","Yerawada","0.0","0","0.0","0","100",""
"3325","Yewale Amruttulya","Beverage Shop","Dange Chowk","0.0","0","0.0","0","100",""
"3326","Yewale Amruttulya","Beverage Shop","Hadapsar","0.0","0","0.0","0","100",""
"3327","Yewale Amruttulya","","Wadgaon Sheri","0.0","0","0.0","0","100",""
"3328","Yewale Amruttulya","Beverage Shop","Bhosari","0.0","0","0.0","0","100",""
"3329","Yewale Amruttulya","Beverage Shop","Hadapsar","0.0","0","0.0","0","100",""
